id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution) [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer's claim that 'SLA xử lý ticket P1 là 4 giờ cho việc khắc phục (resolution)' is directly and fully supported by the retrieved context, which states 'Xử lý và khắc phục (resolution): 4 giờ.' for Ticket P1.",5,"The answer directly and fully addresses the user's question by providing the exact time (4 hours) for the SLA of a P1 ticket, including the specific context of 'resolution'.",5,Retrieved: 1/1 expected sources,3,"Thiếu thông tin quan trọng về SLA phản hồi ban đầu (15 phút), chỉ đề cập đến thời gian xử lý (4 giờ).",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1][3].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer's single claim about the 7-day refund request window is directly and fully supported by the retrieved context, with no additional or fabricated information.",5,The answer directly and fully addresses the user's question by providing the specific number of days (7 working days) and the starting point (from order confirmation) for when a customer can request a refund.,5,Retrieved: 1/1 expected sources,5,"The model answer correctly and completely states the 7 working day refund period from the order confirmation date, matching the expected answer in full.",baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Theo tài liệu, việc cấp quyền Level 3 (Elevated Access) cần được phê duyệt bởi **Line Manager + IT Admin + IT Security** [3].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer's sole claim about the approval requirements for Level 3 Elevated Access is directly and fully supported by the provided context.,5,"The answer directly and fully addresses the question by specifying the exact roles (Line Manager, IT Admin, IT Security) that must approve to grant Level 3 access.",5,Retrieved: 1/1 expected sources,5,"The model answer correctly and completely lists all three required approvers: Line Manager, IT Admin, and IT Security, matching the expected answer.",baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Không, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) không được hoàn tiền [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",5,"The answer's only claim is directly and fully supported by the retrieved context, which explicitly lists 'Sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription)' as an exception for refunds.",5,"The answer directly and fully addresses the user's question by confirming that digital products are not eligible for refunds, which is the core of the query.",5,Retrieved: 1/1 expected sources,4,"Covers the core answer ('Không') and the key categories (license key, subscription). Missing the minor detail of explicitly naming the policy ('Theo chính sách hoàn tiền').",baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer's single claim ('Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp') is directly and fully supported by the retrieved context.,5,The answer directly and fully addresses the user's question by providing the specific number of consecutive failed login attempts (5) that lead to an account lockout.,5,Retrieved: 1/1 expected sources,5,The model answer correctly and completely states the exact key point from the expected answer: the account is locked after 5 consecutive failed login attempts.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,Không có thông tin chi tiết về quy trình escalation cụ thể cho sự cố P1 trong ngữ cảnh được cung cấp. Chỉ biết rằng quy trình escalation tự động đã được thêm vào từ phiên bản 2025.3 [1] và có một quy trình escalation khẩn cấp riêng khi cần thay đổi quyền hệ thống để xử lý sự cố P1 [2].,Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Mọi tuyên bố trong câu trả lời đều được hỗ trợ trực tiếp từ ngữ cảnh: không có chi tiết về quy trình escalation cụ thể cho P1, việc thêm quy trình tự động trong phiên bản 2025.3, và sự tồn tại của quy trình escalation khẩn cấp riêng cho việc thay đổi quyền khi xử lý P1.",3,"The answer is related to the topic of escalation for P1 incidents but is not on target. It does not describe *how* the escalation process occurs (e.g., steps, timeline, roles). Instead, it states that no detailed information is available and provides only tangential facts about when an automated process was added and the existence of a separate emergency process.",5,Retrieved: 1/1 expected sources,2,"Model answer misses the core, specific detail from the expected answer: the automatic escalation to a Senior Engineer after 10 minutes of no response. It only mentions the existence of an automatic escalation process and a separate emergency process, which is insufficient.",baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tên cũ của tài liệu ""Quy trình kiểm soát truy cập hệ thống (Access Control SOP)"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,The answer's only claim—that 'Approval Matrix for System Access' is the former name of the 'Access Control SOP' document—is directly and fully supported by the first note in the retrieved context.,5,"The answer directly and fully addresses the question by identifying the specific document (Access Control SOP) that the 'Approval Matrix để cấp quyền hệ thống' refers to, including its former name.",5,Retrieved: 1/1 expected sources,5,"The model answer correctly identifies both the old name ('Approval Matrix') and the new name ('Access Control SOP') of the document, covering all key points from the expected answer.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên sau thời gian thử việc có thể làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer's single claim about remote work eligibility and limit is directly and fully supported by the retrieved context.,5,The answer directly and fully addresses the user's question by providing the specific maximum number of remote work days per week (2 days).,5,Retrieved: 1/1 expected sources,4,Covers the core key point (2 days/week after probation) but omits the minor but important condition of requiring Team Lead approval.,baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"Dựa trên ngữ cảnh được cung cấp, tôi không biết lỗi ERR-403-AUTH là gì và cách xử lý.","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,"The answer correctly states that the provided context does not contain information about the error ERR-403-AUTH or its resolution, making no unsupported claims.",1,"The answer explicitly states it does not know what the error is or how to handle it, failing to address any part of the user's question.",,No expected sources,1,"Câu trả lời của mô hình hoàn toàn không đề cập đến bất kỳ điểm chính nào trong câu trả lời mong đợi: không xác nhận việc không tìm thấy thông tin, không đề xuất liên hệ IT Helpdesk, và không có nhận định về khả năng lỗi liên quan đến xác thực.",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin trong ngữ cảnh được cung cấp về quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is no information in the provided context about an emergency refund process for VIP customers, which is true. It does not fabricate any details.",1,The answer does not address the user's question at all; it states a lack of information and knowledge rather than providing any relevant response about the refund process.,5,Retrieved: 1/1 expected sources,5,"The model answer correctly states that there is no information about a special process for VIP refunds, which is the core point of the expected answer. It covers the key idea that no different procedure is mentioned or known.",baseline_dense
