id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,"Dựa trên ngữ cảnh được cung cấp, SLA xử lý ticket P1 đã thay đổi như sau so với phiên bản trước:
- Trong phiên bản v2026.1 (có hiệu lực từ 2026-01-15), thời gian SLA cho việc ""Xử lý và khắc phục (resolution)"" đã được cập nhật từ 6 giờ xuống còn 4 giờ [1].
- Ngoài ra, phiên bản v2025.3 (2025-09-01) đã bổ sung quy trình escalation tự động [1].

Các chi tiết cụ thể về SLA cho ticket P1 trong phiên bản hiện tại bao gồm:
- Phản hồi ban đầu (first response): 15 phút kể từ khi ticket được tạo [3].
- Xử lý và khắc phục (resolution): 4 giờ [3].
- Escalation: Tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút [3].
- Thông báo stakeholder: Ngay khi nhận ticket, cập nhật mỗi 30 phút cho đến khi resolve [3].","Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",5,Every claim in the answer is directly supported by the retrieved context. The answer correctly summarizes the version history changes and accurately lists all the specific SLA details for P1 tickets from the provided text.,5,"The answer directly and fully addresses the question by clearly stating the specific changes to the P1 ticket SLA compared to the previous version, including the reduction in resolution time and the addition of an automatic escalation process, and provides the updated SLA details.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer: it correctly states the change in SLA for P1 resolution from 6 hours to 4 hours in version v2026.1, and it correctly identifies that version v2025.3 did not change this SLA (it only added an automatic escalation process). It also provides additional, correct context from the source material.",baseline_dense
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?","Khi làm việc remote, mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc [1]. Việc kết nối VPN là bắt buộc khi làm việc với hệ thống nội bộ [2].","Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",5,"Every claim in the answer is directly supported by the retrieved context. The first sentence is from the VPN FAQ, and the second is from the remote work technical requirements.",5,The answer directly and fully addresses the user's question by stating the maximum number of devices (2) that can be connected to the VPN simultaneously for remote work.,5,Retrieved: 2/2 expected sources,4,Covers the key point about the 2-device limit and the mandatory nature of VPN. Missing the minor details of the specific policy name (HR Leave Policy) and the VPN software name (Cisco AnyConnect).,baseline_dense
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,"Dựa trên ngữ cảnh được cung cấp, đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm **KHÔNG được hoàn tiền**.

Lý do:
1.  **Đơn hàng Flash Sale**: Chính sách nêu rõ một ngoại lệ không được hoàn tiền là ""Đơn hàng đã áp dụng mã giảm giá đặc biệt theo chương trình khuyến mãi Flash Sale"" [1].
2.  **Sản phẩm đã kích hoạt**: Chính sách cũng liệt kê ngoại lệ không được hoàn tiền là ""Sản phẩm đã được kích hoạt hoặc đăng ký tài khoản"" [1].

Cả hai điều kiện từ câu hỏi đều thuộc các ngoại lệ cụ thể khiến đơn hàng không đủ điều kiện để hoàn tiền theo chính sách [1].",Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,5,"Every claim in the answer is directly supported by the retrieved context. The answer correctly identifies the two exceptions (Flash Sale and activated product) that disqualify a refund, citing the exact language from the context.",5,The answer directly and fully addresses the user's question by clearly stating that an order from a Flash Sale program with an activated product is NOT eligible for a refund. It correctly cites the two relevant policy exceptions that apply to the user's specific scenario.,5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points: it states 'KHÔNG được hoàn tiền', correctly cites both exceptions (Flash Sale discount and activated product), and links them to the policy terms, matching the expected answer.",baseline_dense
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?","Nếu chọn nhận store credit (credit nội bộ) thay vì hoàn tiền, bạn sẽ nhận được giá trị là **110%** so với số tiền hoàn gốc [1].","Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",5,The answer's only claim about receiving 110% value for store credit is directly and fully supported by the retrieved context in the 'CHÍNH SÁCH HOÀN TIỀN - PHIÊN BẢN 4' section.,5,The answer directly and fully addresses the user's question by providing the exact percentage (110%) they would receive when choosing store credit over a refund.,5,Retrieved: 1/1 expected sources,5,"Model answer covers all key points: the option to receive store credit, the 110% value compared to the original refund amount, and the fact that it's a choice (implied by 'nếu chọn').",baseline_dense
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?","Dựa trên ngữ cảnh được cung cấp, câu trả lời cho câu hỏi như sau:

Có, contractor từ bên ngoài công ty có thể được cấp quyền Admin Access vì quy trình kiểm soát truy cập áp dụng cho ""tất cả nhân viên, contractor, và third-party vendor"" [5].

Quy trình cấp quyền Admin Access (Level 4) cụ thể là:
*   **Thời gian xử lý:** 5 ngày làm việc [4].
*   **Yêu cầu đặc biệt:** Cần phải tham gia ""Training bắt buộc về security policy"" [4].
*   **Người phê duyệt:** Yêu cầu phải được phê duyệt bởi cả IT Manager và CISO [4].","Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",1,"The answer is almost entirely fabricated. It claims the context states that access control applies to 'all employees, contractors, and third-party vendors' and provides specific details about Admin Access (Level 4) processing time, training, and approvers. None of this information is present in the provided context. The context only mentions revoking access for employees leaving, contracts ending, or department transfers.",5,"The answer directly and fully addresses all parts of the user's question: confirming contractors can get admin access, specifying the required processing time (5 business days), and listing the special requirements (mandatory security training and dual approval by IT Manager and CISO).",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points from the expected answer: 1) Yes, contractors can get Admin Access, 2) The process applies to all employees, contractors, and vendors, 3) Approval from both IT Manager and CISO is required, 4) Processing time is 5 business days, and 5) Mandatory security policy training is a special requirement.",baseline_dense
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?","Dựa trên ngữ cảnh được cung cấp, quy trình cấp quyền tạm thời trong sự cố P1 và thời gian tồn tại của quyền đó như sau:

**Quy trình cụ thể:**
1.  On-call IT Admin có thể cấp quyền tạm thời sau khi được Tech Lead phê duyệt bằng lời [2].
2.  Mọi quyền tạm thời được cấp phải được ghi log vào hệ thống Security Audit [2].

**Thời gian tồn tại của quyền:**
Quyền tạm thời này có thời hạn tối đa là **24 giờ** [2]. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động [2].","On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",5,Every claim in the answer is directly supported by the retrieved context. The process steps and the 24-hour maximum duration for temporary access are explicitly stated in the Access Control SOP section.,5,"The answer directly and fully addresses both parts of the user's question. It clearly outlines the specific procedure for granting temporary access during a P1 incident (requiring approval and logging) and explicitly states the maximum duration of 24 hours for the temporary permission, matching the context provided.",5,Retrieved: 2/2 expected sources,4,The answer covers all key procedural points and the 24-hour duration. The only minor detail missing is the specific contact method (hotline ext. 9999) for the on-call IT Admin as per the expected answer.,baseline_dense
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu để trả lời.,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",5,"The answer 'Không đủ dữ liệu để trả lời' (Insufficient data to answer) makes no claims about the context's content, therefore it contains no fabricated or unsupported information.",5,"The answer directly and correctly addresses the user's question by stating that there is insufficient data to provide the specific penalty amount, which is a valid and complete response to the question as posed.",,"No expected sources — abstain question, recall N/A",5,"The model answer correctly states that there is insufficient data to answer the question, which fully aligns with the expected answer's core point that the existing documentation does not specify a penalty amount or form of handling for an SLA P1 violation.",baseline_dense
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,"Dựa trên ngữ cảnh được cung cấp:

1.  **Số ngày báo trước để xin nghỉ phép năm:** Nhân viên phải gửi yêu cầu nghỉ phép qua hệ thống HR Portal ít nhất **3 ngày làm việc** trước ngày nghỉ [2].
2.  **Số ngày cần giấy tờ khi nghỉ ốm:** Chính sách quy định rằng nếu nghỉ ốm **trên 3 ngày liên tiếp**, nhân viên cần có giấy tờ y tế từ bệnh viện [1].

**So sánh:** Con số này **không giống nhau**. Thời hạn báo trước cho nghỉ phép năm là **3 ngày làm việc** [2], trong khi ngưỡng cần giấy tờ y tế cho nghỉ ốm là **trên 3 ngày liên tiếp** (tức từ ngày thứ tư trở đi) [1].",Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,5,"Every claim in the answer is directly supported by the retrieved context. The 3-working-day notice for annual leave is from the process description, and the requirement for medical documents after more than 3 consecutive sick days is from the sick leave policy.",5,"The answer directly and fully addresses both parts of the question. It clearly states the required advance notice for annual leave (3 working days) and the threshold for requiring medical documents for sick leave (more than 3 consecutive days), and explicitly states they are not the same.",5,Retrieved: 1/1 expected sources,5,"The model answer covers all key points: the 3-working-day advance notice for annual leave via HR Portal, the requirement for medical documents for sick leave exceeding 3 consecutive days, and the clarification that these two '3-day' figures apply to different situations.",baseline_dense
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?","Có. Mật khẩu tài khoản công ty cần phải được thay đổi định kỳ mỗi 90 ngày. Hệ thống sẽ nhắc nhở trước 7 ngày khi mật khẩu sắp hết hạn [1].

Tuy nhiên, ngữ cảnh được cung cấp không chứa thông tin về việc đổi mật khẩu qua đâu (ví dụ: qua trang web cụ thể nào, ứng dụng nội bộ hay liên hệ bộ phận IT). Do đó, câu hỏi về nơi đổi mật khẩu không có đủ dữ liệu để trả lời.","Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",4,"The main claim about mandatory 90-day password changes is directly supported. However, the detail that 'the system will remind you 7 days before expiration' is not present in the provided context (the context cuts off mid-sentence at 'Hệ thống sẽ nhắc n'), making it a minor fabrication.",4,"The answer directly addresses the core question about periodic password change and the reminder period, but it correctly notes that it cannot answer the specific part about where to change the password due to lack of information, making it slightly incomplete.",5,Retrieved: 1/1 expected sources,3,"Answer correctly covers the frequency (90 days) and reminder period (7 days), but completely omits the key information about where to change the password (specific URL and helpdesk extension).",baseline_dense
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,"Dựa trên ngữ cảnh được cung cấp, chính sách hoàn tiền hiện tại (Phiên bản 4) áp dụng cho các đơn hàng đặt trước ngày 01/02/2026 là **Chính sách hoàn tiền phiên bản 3** [1].",Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,1,"The answer's main claim is fabricated. The context states the new policy (version 4) applies to orders placed *from* 01/02/2026, and orders placed *before* that date follow version 3. The answer incorrectly inverts this, stating version 4 applies to orders placed *before* 01/02/2026.",5,"The answer directly and fully addresses the user's question by stating precisely which refund policy (Version 3) applies to orders placed before 01/02/2026, as requested.",5,Retrieved: 1/1 expected sources,5,"Model answer correctly states that orders placed before 01/02/2026 are subject to Refund Policy Version 3, covering both key points: the 'no' answer and the specific policy version that applies.",baseline_dense
